FID,Status,Score,Match_type,Match_addr,,AddNum,AddNumFrom,AddNumTo,StPreDir,StPreType,StName,StType,StDir,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Addr_type,StreetID,Distance,X,Y,DisplayX,DisplayY,Xmin,Ymin,Xmax,Ymax,ARC_Street,ARC_City,ARC_State,ARC_ZIP,UID,ProgType,Agency,ProgName,InvType,BedType,TargetPop,SubPop,PopB,PopC,McKVento,UtilizRate,Address,Address2,City_1,ZIP,GEOID,Contact,Title,Phone,Email,SPA,SD,CD,CTs,Beds,Units,PIT,SkidRow,Veterans
16,M,100,A,"849 S Normandie Ave, Los Angeles, CA, 90005",R,849,801,899,S, ,Normandie,Ave, , ,Los Angeles, ,CA,90005, ,USA,ENG,StreetAddress,6984000016,0,-118.299859,34.056827,-118.299859,34.056827,-118.349859,34.006827,-118.249859,34.106827,849 S. Normandie Ave.,Los Angeles, ,90005,011-001108,PSH,A Community of Friends,Fox Normandie Apartments,C,0,SMF+HC,Family,NA,Mentally Ill,Yes,0.98,849 S. Normandie Ave., ,Los Angeles,90005,62118,Dora Leong Gallo,CEO,(213) 480-0809,dgallo@acof.org,SPA 4,SD 2,CD 10,212420,54, ,53, , 
17,M,89.04,A,"340 N Madison Ave, Los Angeles, CA, 90004",R,340,300,398,N, ,Madison,Ave, , ,Los Angeles, ,CA,90004, ,USA,ENG,StreetAddress,6984000016,0,-118.289101,34.076912,-118.289101,34.076912,-118.339101,34.026912,-118.239101,34.126912,340 North Madison,Los Angeles, ,90004,044-008585,RRH,People Assisting the Homeless (PATH),SSVF - Supportive Services for Veteran Families,N,0,HC,Family,NA, ,No,1,340 North Madison, ,Los Angeles,90004,62118,Mario Cardona,Associate Director,(323) 960-3333,mcardona@epath.org,SPA 4,SD 2,CD 13,192700,10, ,10, , 
18,M,100,A,"962 S Hoover St, Los Angeles, CA, 90006",L,962,962,998,S, ,Hoover,St, , ,Los Angeles, ,CA,90006, ,USA,ENG,StreetAddress,6984000042,0,-118.284141,34.053399,-118.284141,34.053399,-118.334141,34.003399,-118.234141,34.103399,962 S. Hoover St.,Los Angeles, ,90006,105-008955,PSH,Project New Hope,"Ready, Willing and Able (B): Norlin Lockwood, Hoover and Nyumba Apartments",C,0,SMF,Individual,HIV,NA,Yes,0.88,962 S. Hoover St., ,Los Angeles,90006,62118,Brigitte Tweddell,Executive Director,(213) 250-9481,btweddell@projectnewhope.org,SPA 4,SD 1,CD 1,197500,104, ,91, , 
19,M,100,A,"1225 S Vermont Ave, Los Angeles, CA, 90006",R,1225,1201,1299,S, ,Vermont,Ave, , ,Los Angeles, ,CA,90006, ,USA,ENG,StreetAddress,6984000016,0,-118.291674,34.048606,-118.291674,34.048606,-118.341674,33.998606,-118.241674,34.098606,1225 S VERMONT AVE,Los Angeles, ,90006,436-018500,PSH,West Hollywood Community Housing Corporation,Vermont Manzanita,U,0,HC,Family,NA,NA,No,0,1225 S VERMONT AVE, ,Los Angeles,90006,62118,Danny Pepper,Director of Resident Services,(323) 650-8771,danny@whchc.org,SPA 4,SD 2,CD 1,213320,45, ,0, , 
20,M,100,PP, , , , , , , , , , , , , , , , , , , , ,0,-118.339009,34.012927,0,0,0,0,0,0,P.O. BOX 8476,LOS ANGELES, ,90008,062-006153,ES,"Jenesse Center, Inc.",Fannie Lou Hamer Emergency Shelter,C,Facility-based beds,SFHC,Family,DV,NA,No,0.48,P.O. Box 8476, ,Los Angeles,90008,62118,Donna Derden,Contract Manager,(323) 299-9497,dderden@jenesse.org,SPA 6,SD 2,CD 10,236201,21, ,10, , 
21,M,100,A,"1053 S New Hampshire Ave, Los Angeles, CA, 90006",R,1053,1001,1099,S, ,New Hampshire,Ave, , ,Los Angeles, ,CA,90006, ,USA,ENG,StreetAddress,6984000016,0,-118.292724,34.051732,-118.292724,34.051732,-118.342724,34.001732,-118.242724,34.101732,1053 S. New Hampshire Ave.,Los Angeles, ,90006,092-006511,PSH,LTSC Community Development Corporation,Casa Yonde,C,0,HC,Family,DV,NA,No,0.41,1053 S. New Hampshire Ave., ,Los Angeles,90006,62118,Vivian Lee,Program Coordinator,(213) 473-3035,vlee@ltsc.org,SPA 4,SD 2,CD 1,213320,27, ,11, , 
22,M,100,A,"3995 Hillcrest Dr, Los Angeles, CA, 90008",R,3995,3943,3999, , ,Hillcrest,Dr, , ,Los Angeles, ,CA,90008, ,USA,ENG,StreetAddress,6984000016,0,-118.346427,34.013924,-118.346427,34.013924,-118.396427,33.963924,-118.296427,34.063924,3995 Hillcrest Dr.,Los Angeles, ,90008,389-016150,TH,First Place for Youth,My First Place,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.04,3995 Hillcrest Dr., ,Los Angeles,90008,62118,Alex Atkinson,Director,(213) 835-2700,aatkinson@firstplaceforyouth.org,SPA 6,SD 2,CD 10,236201,27, ,1, , 
23,M,100,PP, , , , , , , , , , , , , , , , , , , , ,0,-118.34022,34.013655,0,0,0,0,0,0,P.O. BOX 8476,LOS ANGELES, ,90008,062-006151,TH,"Jenesse Center, Inc.","Center for Women and Children, Sites A and B",C,0,SFHC,Family,DV,NA,Yes,0.36,P.O. Box 8476, ,Los Angeles,90008,62118,Donna Derden,Contract Manager,(323) 299-9496,dderden@jenesse.org,SPA 6,SD 2,CD 10,236201,74, ,27, , 
24,M,100,PP, , , , , , , , , , , , , , , , , , , , ,0,-118.337908,34.01229,0,0,0,0,0,0,P.O. BOX 8476,LOS ANGELES, ,90008,062-006154,ES,"Jenesse Center, Inc.",Jenesse Educational Center,C,Voucher beds,SFHC,Family,DV,NA,No,1,P.O. Box 8476, ,Los Angeles,90008,62118,Donna Derden,Contract Manager,(323) 299-9498,dderden@jenesse.org,SPA 6,SD 2,CD 10,236201,33, ,33, , 
25,M,100,A,"3101 S Grand Ave, Los Angeles, CA, 90007",R,3101,3101,3121,S, ,Grand,Ave, , ,Los Angeles, ,CA,90007, ,USA,ENG,StreetAddress,6984000018,0,-118.274894,34.022459,-118.274894,34.022459,-118.324894,33.972459,-118.224894,34.072459,3101 S. Grand Ave.,Los Angeles, ,90007,406-017451,OPH,Coalition for Responsible Community Development,Homeless Section 8 Voucher Program (HACLA),C,0,YMF,Youth,NA,Youth (Ages 18-25),No,1,3101 S. Grand Ave., ,Los Angeles,90007,62118,Ishimine Caldwell,Manager of Supportive Services,(323) 234-4910,icaldwell@coalitionrcd.org,SPA 6,SD 1,CD 9,224600,58, ,58, , 
26,M,100,A,"3107 S Grand Ave, Los Angeles, CA, 90007",R,3107,3101,3121,S, ,Grand,Ave, , ,Los Angeles, ,CA,90007, ,USA,ENG,StreetAddress,6984000018,0,-118.275035,34.02224,-118.275035,34.02224,-118.325035,33.97224,-118.225035,34.07224,3107 S GRAND AVE,Los Angeles, ,90007,040-009410,TH,The Salvation Army,GPD - Hope Harbor,C,0,SM,Individual,NA,NA,No,0.8,3107 S GRAND AVE, ,Los Angeles,90007,62118,Deborah Mayes,Program Manager,(213) 744-8186 x 207,deborah.mayes@usw.salvationarmy.org,SPA 5,SD 1,CD 9,224600,50, ,40, ,Veterans
27,M,100,A,"3107 S Grand Ave, Los Angeles, CA, 90007",R,3107,3101,3121,S, ,Grand,Ave, , ,Los Angeles, ,CA,90007, ,USA,ENG,StreetAddress,6984000018,0,-118.275035,34.02224,-118.275035,34.02224,-118.325035,33.97224,-118.225035,34.07224,3107 S GRAND AVE,Los Angeles, ,90007,040-009446,TH,The Salvation Army,Hope Harbor GR,C,0,SM,Individual,NA, ,No,1,3107 S GRAND AVE, ,Los Angeles,90007,62118,Deborah Mayes,Program Manager,(213) 744-8186 x 207,deborah.mayes@usw.salvationarmy.org,SPA 6,SD 1,CD 9,224600,4, ,4, , 
28,M,92.5,A,"3881 Roxton Ave, Los Angeles, CA, 90018",R,3881,3701,3899, , ,Roxton,Ave, , ,Los Angeles, ,CA,90018, ,USA,ENG,StreetAddress,6984000017,0,-118.3214,34.015029,-118.3214,34.015029,-118.3714,33.965029,-118.2714,34.065029,3881 ROXTON AVE,Los Angeles, ,90008,410-017200,TH,Sanctuary of Hope,Hope Refuge,C,0,YMF,Youth,NA,Youth (Emancipated Foster Youth),No,1,3881 ROXTON AVE, ,Los Angeles,90008,62118,Janet Kelley,Executive Director,(323) 786-2413,janet.kelly@thesoh.org,0,SD 2,CD 10,234000,6, ,6, , 
29,M,92.5,A,"326 S Broadway, Los Angeles, CA, 90013",L,326,300,398,S, ,Broadway, , , ,Los Angeles, ,CA,90013, ,USA,ENG,StreetAddress,6984000022,0,-118.248305,34.050546,-118.248305,34.050546,-118.298305,34.000546,-118.198305,34.100546,326 S Broadway,Los Angeles, ,90003,152-004604,ES,"First To Serve, Inc.",Winter Shelter Program II,C,Facility-based beds,SMF,Individual,NA, ,Yes,1,326 S Broadway, ,Los Angeles,90003,62118,Richard Reed,Executive Director,(323) 758-4669,rreed@firsttoserve.org,SPA 6,SD 1,CD 14,207301,196, ,196, , 
30,M,90.87,A,"1230 Menlo Ave, Los Angeles, CA, 90006",L,1230,1100,1298, , ,Menlo,Ave, , ,Los Angeles, ,CA,90006, ,USA,ENG,StreetAddress,6984000016,0,-118.290638,34.048506,-118.290638,34.048506,-118.340638,33.998506,-118.240638,34.098506,1230 S. Menlo Ave.,Los Angeles, ,90006,092-006506,PSH,Koreatown Youth and Community Center (KYCC),Menlo Family Center,N,0,HC,Youth,NA,Youth (Ages 18-25),No,0,1230 S. Menlo Ave., Ste 100,Los Angeles,90006,62118,Walter Morita,Director of Property Management,(213) 473-3021, ,SPA 4,SD 2,CD 1,213402,2, ,0, , 
31,M,100,A,"3600 Wilshire Blvd, Los Angeles, CA, 90010",L,3600,3600,3620, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,90010, ,USA,ENG,StreetAddress,6984000018,0,-118.303141,34.061674,-118.303141,34.061674,-118.353141,34.011674,-118.253141,34.111674,3600 Wilshire Blvd.,Los Angeles, ,90010,083-011277,RRH,Corporation for Supportive Housing,Just In Reach,C,0,SM,Individual,NA, ,Yes,1,3600 Wilshire Blvd., Suite 1500,Los Angeles,90010,62118,#N/A,#N/A,#N/A,#N/A,SPA 4,SD 2,CD 10,212410,143, ,143, , 
32,M,100,A,"157 E 36th St, Los Angeles, CA, 90011",L,157,101,199,E, ,36th,St, , ,Los Angeles, ,CA,90011, ,USA,ENG,StreetAddress,6984000018,0,-118.271765,34.01631,-118.271765,34.01631,-118.321765,33.96631,-118.221765,34.06631,157 E. 36th Street,Los Angeles, ,90011,092-006500,PSH,Coalition for Responsible Community Development,36th Street Apartments,C,0,SMF,Youth,NA,Youth (Ages 18-25),Yes,0.83,157 E. 36th Street, ,Los Angeles,90011,62118,Ishimine Caldwell,Manager of Supportive Services,(323) 234-4910,icaldwell@coalitionrcd.org,SPA 6,SD 2,CD 9,228410,12, ,10, , 
33,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",L,3530,3520,3542, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,0, ,USA,ENG,StreetAddress,6984000015,0,-118.301217,34.061688,-118.301217,34.061688,-118.351217,34.011688,-118.251217,34.111688,3530 Wilshire Blvd,Los Angeles, ,90010,119-003702,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People (2): SPA 7,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.33,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,30, ,10, , 
34,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",L,3530,3520,3542, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,0, ,USA,ENG,StreetAddress,6984000015,0,-118.301217,34.061688,-118.301217,34.061688,-118.351217,34.011688,-118.251217,34.111688,3530 Wilshire Blvd,Los Angeles, ,90010,119-003707,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People: SPA 6,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.43,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,14, ,6, , 
35,M,89.04,A,"10424 S Figueroa St, Los Angeles, CA, 90003",L,10424,10412,10498,S, ,Figueroa,St, , ,Los Angeles, ,CA,90003, ,USA,ENG,StreetAddress,6984000016,0,-118.28254,33.94146,-118.28254,33.94146,-118.33254,33.89146,-118.23254,33.99146,10424 S. Figueroa,Los Angeles, ,90003,406-017454,PSH,Coalition for Responsible Community Development,CRCD Apartments,N,0,SMF,Individual,NA, ,Yes,0.88,10424 S. Figueroa, ,Los Angeles,90003,62118,Ishimine Caldwell,Manager of Supportive Services,(323) 234-4909,icaldwell@coalitionrcd.org,SPA 6,SD 2,CD 8,241110,16, ,14, , 
36,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",L,3530,3520,3542, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,0, ,USA,ENG,StreetAddress,6984000015,0,-118.301217,34.061688,-118.301217,34.061688,-118.351217,34.011688,-118.251217,34.111688,3530 Wilshire Blvd,Los Angeles, ,90010,119-003709,TH,County of Los Angeles Department of Children and Family Services (DCFS),THP for Homeless Young People - CA7015,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.33,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,9, ,3, , 
37,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",L,3530,3520,3542, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,0, ,USA,ENG,StreetAddress,6984000015,0,-118.301217,34.061688,-118.301217,34.061688,-118.351217,34.011688,-118.251217,34.111688,3530 Wilshire Blvd,Los Angeles, ,90010,119-003705,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People: SPA 6(3),C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.28,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,18, ,5, , 
38,M,100,PP, , , , , , , , , , , , , , , , , , , , ,0,-118.235429,34.06096,0,0,0,0,0,0,CONFIDENTIAL,LOS ANGELES, ,90012,102-009007,TH,"Prototypes, Inc.",Star House,C,0,SFHC,Family,DV,NA,Yes,0.62,Confidential, ,Los Angeles,90012,62118,Rabeya Sen,Manager II,(323) 464-6281,rsen@prototypes.org,SPA 4,SD 3,CD 13,191000,34, ,21, , 
39,M,92.5,A,"3530 Wilshire Blvd, Los Angeles, CA, 00000",L,3530,3520,3542, , ,Wilshire,Blvd, , ,Los Angeles, ,CA,0, ,USA,ENG,StreetAddress,6984000015,0,-118.301217,34.061688,-118.301217,34.061688,-118.351217,34.011688,-118.251217,34.111688,3530 Wilshire Blvd,Los Angeles, ,90010,119-003706,TH,County of Los Angeles Department of Children and Family Services (DCFS),Transitional Housing Program For Homeless Young People: SPA 4,C,0,SMF+HC,Youth,NA,Youth (Emancipated Foster Youth),Yes,0.25,3530 Wilshire Blvd, 4th Floor,Los Angeles,90010,62118,Bedrae Davis,CSA II,(213) 351-0188,DavisB@dcfs.lacounty.gov,SPA 4,SD 2,CD 10,212410,20, ,5, , 
40,M,100,A,"566 S San Pedro St, Los Angeles, CA, 90013",L,566,546,598,S, ,San Pedro,St, , ,Los Angeles, ,CA,90013, ,USA,ENG,StreetAddress,6984000040,0,-118.244884,34.042609,-118.244884,34.042609,-118.294884,33.992609,-118.194884,34.092609,566 S. San Pedro St.,Los Angeles, ,90013,024-006355,TH,"JWCH Institute, Inc.",Recuperative Care Transitional Housing,C,0,SMF,Individual,NA,Chronically Homeless,Yes,1,566 S. San Pedro St., ,Los Angeles,90013,62118,Marcus Hong,Director,(323) 356-2545,mhong@jwchinstitute.org,SPA 4,SD 2,CD 14,206300,21, ,21,Skidrow, 
41,M,100,A,"1006 E 28th St, Los Angeles, CA, 90011",R,1006,1000,1098,E, ,28th,St, , ,Los Angeles, ,CA,90011, ,USA,ENG,StreetAddress,6984000016,0,-118.257324,34.017391,-118.257324,34.017391,-118.307324,33.967391,-118.207324,34.067391,1006 E. 28th St.,Los Angeles, ,90011,234-003401,PSH,Coalition for Responsible Community Development,28th St. Apartments,C,0,SMF,Individual,NA,Mentally Ill,No,0.23,1006 E. 28th St., ,Los Angeles,90011,62118,Vanessa Luna,Housing Director,(213) 316-0108,vluna@mhala.org,SPA 6,SD 2,CD 9,226700,30, ,7, , 
