,APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone,lat,lon
29,2109018006,01/07/2016,Single Family,"21025 W STAGG ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256,-118.698572,34.30355
30,2109022005,03/14/2016,Single Family,"7703 N DE SOTO AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816,-118.675409,34.272319
31,2109023017,02/17/2016,Single Family,"20940 W LULL ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.698572,34.30355
32,2109025010,01/27/2016,Single Family,"7638 N MILWOOD AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.674338,34.272703
33,2109029019,01/05/2016,Single Family,"7743 N MILWOOD AVE LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC",Property Registrations Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.674338,34.272703
34,2110008020,01/12/2016,Single Family,"21831 W ARMINTA ST LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480,-118.698572,34.30355
35,2110011034,02/02/2016,Single Family,"7904 N TOPANGA CANYON BLVD LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.717369,34.280791
36,2110013108,01/14/2016,Single Family,"7730 N TOPANGA CANYON BLVD LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,Caliber Home Loans,Kandyce Hughes,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611,-118.717369,34.280791
37,2110013125,01/08/2016,Single Family,"7658 N TOPANGA CANYON BLVD LOS ANGELES, CA 93063 ",LOS ANGELES,CA,93063,3,DITECH FINANCIAL LLC,TEMPE PROPERTIES,480-333-6059,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437,-118.717369,34.280791
38,2110014090,01/06/2016,Single Family,"7650 N TOPANGA CANYON BLVD LOS ANGELES, CA 91304 ",LOS ANGELES,CA,91304,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc. Mortgage Contracting Services, Inc.",6504   International Parkway PKWY 1500 Plano TX 75093 ,866-563-1100,-118.605719,34.209732
39,2110014099,01/14/2016,Single Family,"7650 N TOPANGA CANYON BLVD LOS ANGELES, CA 91304 ",LOS ANGELES,CA,91304,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.605719,34.209732
40,2112005029,01/05/2016,Single Family,"7550 N DASHI PL LOS ANGELES, CA 91303 ",LOS ANGELES,CA,91303,3,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437,-118.590497,34.207879
41,2114018076,02/04/2016,Single Family,"20134 W LEADWELL LOS ANGELES, CA 91306 ",LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.572065,34.203382
42,2114018099,01/21/2016,Single Family,"20134 W LEADWELL LOS ANGELES, CA 91306 ",LOS ANGELES,CA,91306,3,Green Tree,Jeremy Iverson,480-383-0648,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336 ,909-822-1706,-118.572065,34.203382
43,2114018132,01/04/2016,Single Family,"20134 W LEADWELL LOS ANGELES, CA 91306 ",LOS ANGELES,CA,91306,3,PHH Mortgage Corporation,Ann Lewis,856-917-8306,Bron Inc.,Grace Wesson,41951   Remington AVE  Temecula CA 92590 ,951-428-2252,-118.572065,34.203382
44,2114018139,01/06/2016,Single Family,"20134 W LEADWELL LOS ANGELES, CA 91306 ",LOS ANGELES,CA,91306,3,Solutionstar Field Services,Paula Acosta,888-456-0714,"Mortgage Contracting Services, Inc",Property Registration Property Registration,6504   INTERNATIONAL PKWY  PLANO TX 75093 ,813-387-1100,-118.572065,34.203382
45,2161018035,01/06/2016,Single Family,"5230 N RESEDA BLVD LOS ANGELES, CA 91335 ",LOS ANGELES,CA,91335,3,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC.",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.536236,34.196731
46,2161018035,01/27/2016,Single Family,"5230 N RESEDA BLVD LOS ANGELES, CA 91335 ",LOS ANGELES,CA,91335,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"Cyprexx Services, LLC.",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.536236,34.196731
47,2169010004,03/09/2016,Single Family,"5067 N TOPANGA CANYON BLVD LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Bank of New York Mellon C/O Select Portfolio Servicing,na na,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097,-118.606059,34.161332
48,2171022062,01/26/2016,Single Family,"4754 N TOPANGA CANYON BLVD LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274,-118.605386,34.153251
49,2172018022,01/05/2016,Single Family,"21091 W ALHAMA DR LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Solutionstar Field Services,Paula Acosta,888-456-0714,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306,-118.592252,34.149285
50,2173002025,01/06/2016,Single Family,"4548 N TOPANGA CANYON BLVD LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Solutionstar Field Services,Paula Acosta,888-456-0714,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306,-118.604683,34.149663
51,2173002027,01/05/2016,Single Family,"4516 N TOPANGA CANYON BLVD LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,"MUFG Union Bank, N.A.",Glenn Schulte,858-457-6642,Safeguard Properties,Heidi Brodersen,445   S. Figueroa Street   Los Angeles CA 90071 ,858-457-6332,-118.604799,34.149183
52,2173002033,01/06/2016,Single Family,"4348 N TOPANGA CANYON BLVD LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Select Portfolio Servicing,Code Violations,888-349-8964,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306,-118.605119,34.14776
53,2177007007,01/12/2016,Single Family,"4300 N GAYLE DR LOS ANGELES, CA 91356 ",LOS ANGELES,CA,91356,3,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306,-118.55112,34.152868
54,2190001023,01/03/2016,Single Family,"21627 W MULHOLLAND DR LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC.",Property Registrations Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.623315,34.150906
55,2190001023,01/28/2016,Single Family,"21627 W MULHOLLAND DR LOS ANGELES, CA 91364 ",LOS ANGELES,CA,91364,3,Nationstar Mortgage,Dawn Campos,888-456-0714,"Cyprexx Services, LLC.",Property Registrations Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.623315,34.150906
56,2203009012,01/04/2016,Single Family,"7754 N OAK PARK AVE LOS ANGELES, CA 91406 ",LOS ANGELES,CA,91406,6,Solutionstar Field Services,Paula Acosta,888-456-0714,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743,-118.504281,34.211812
57,2203009012,03/08/2016,Single Family,"7754 N OAK PARK AVE LOS ANGELES, CA 91406 ",LOS ANGELES,CA,91406,6,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743,-118.504281,34.211812
58,2236012003,01/14/2016,Multi-Family,"14610 W KITTRIDGE ST VAN NUYS, CA 91411 ",VAN NUYS,CA,91411,6,Caliber Home Loans,Kandyce Hughes,214-874-4174,Edward Zubia,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010 ,213-804-7437,-118.451367,34.190455
59,2257019115,01/04/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,Solutionstar Field Services,Paula Acosta,888-456-0714,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093 ,813-387-1100,-118.48886,34.133827
60,2257019116,01/14/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084,-118.48886,34.133827
61,2257019194,01/06/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,Solutionstar Field Services,Paula Acosta,888-456-0714,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306,-118.48886,34.133827
62,2257019194,01/25/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306,-118.48886,34.133827
63,2257020035,01/05/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801,-118.48886,34.133827
64,2257020055,01/07/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437,-118.48886,34.133827
65,2257020102,01/06/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.48886,34.133827
66,2257020129,01/06/2016,Single Family,"5460 WHITE OAK LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.48886,34.133827
67,2261036035,01/04/2016,Single Family,"15473 W LA MAIDA ST LOS ANGELES, CA 91403 ",LOS ANGELES,CA,91403,5,Solutionstar Field Services,Paula Acosta,888-456-0714,"Mortgage Contracting Services, Inc.","Mortgage Contracting Services, Inc.",6504   International Pkwy 1500 Plano TX 75093 ,813-387-1100,-118.471848,34.158624
68,2274003005,01/28/2016,Single Family,"3952 N BEVERLY GLEN BLVD LOS ANGELES, CA 91423 ",LOS ANGELES,CA,91423,4,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863,-118.45253,34.135884
69,2274008010,03/07/2016,Single Family,"3566 N BEVERLY GLEN BLVD LOS ANGELES, CA 91423 ",LOS ANGELES,CA,91423,4,BAYVIEW LOAN SERVICING LLC FOR BANK OF NEW YORK MELLON,MICHAEL LOPATA,954-590-7161,SUPERIOR FIELD SERVICES,MOTI SHOHAM,5525   MORELLA AVE  NORTH HOLLYWOOD CA 91607 ,818-424-4732,-118.45253,34.135884
70,2274018002,01/03/2016,Single Family,"14242 W MILLBROOK DR LOS ANGELES, CA 91423 ",LOS ANGELES,CA,91423,4,Solutionstar Field Services,Paula Acosta,888-456-0714,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743,-118.444671,34.14364
71,2274018002,01/15/2016,Single Family,"14242 W MILLBROOK DR LOS ANGELES, CA 91423 ",LOS ANGELES,CA,91423,4,Nationstar Mortgage LLC,NSTAR CLIENT,469-549-2178,Assurant Field Services,Property Registration Department Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,800-468-1743,-118.444671,34.14364
72,2275030004,01/04/2016,Single Family,"3731 N BEVERLY GLEN BLVD LOS ANGELES, CA 91423 ",LOS ANGELES,CA,91423,4,"U.S. Bank,  N.A. C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060,-118.45253,34.135884
73,2280001022,03/31/2016,Single Family,"4160 N SEPULVEDA BLVD LOS ANGELES, CA 91403 ",LOS ANGELES,CA,91403,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,EEC CORP,Serene Maliczak,19655   Galeview DR  ROWLAND HEIGHTS CA 91748 ,562-697-9988,-118.481052,34.137283
74,2289023017,01/14/2016,Single Family,"4584 N TARA DR LOS ANGELES, CA 91436 ",LOS ANGELES,CA,91436,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Apex Construction Services,Kuhn Mat,3600   Ocean Ranch BLVD  Oceanside CA 92056 ,760-634-6589,-118.498025,34.154636
75,2307023069,01/02/2016,Single Family,"7115 N ST CLAIR AVE LOS ANGELES, CA 91605 ",LOS ANGELES,CA,91605,2,"U.S. Bank,  N.A. C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060,-118.399752,34.207326
76,2408009033,01/14/2016,Single Family,"8723 N LUCIA PL LOS ANGELES, CA 91352 ",LOS ANGELES,CA,91352,6,Caliber Home Loans,Kandyce Hughes,214-874-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437,-118.369064,34.228832
77,2412031142,01/04/2016,Single Family,"6716 N CLYBOURN AVE LOS ANGELES, CA 91606 ",LOS ANGELES,CA,91606,2,Solutionstar Field Services,Paula Acosta,888-456-0714,Assurant Field Services,Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,512-833-8101,-118.36353,34.192132
78,2412031142,03/09/2016,Single Family,"6716 N CLYBOURN AVE LOS ANGELES, CA 91606 ",LOS ANGELES,CA,91606,2,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,Assurant Field Services,Property Registration Department,101  W Louis Henna Blvd 400 Austin TX 78728 ,512-833-8101,-118.36353,34.192132
79,2414034013,01/13/2016,Single Family,"6510 N CLYBOURN AVE LOS ANGELES, CA 91606 ",LOS ANGELES,CA,91606,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480,-118.363542,34.18885
80,2420006009,01/28/2016,Single Family,"4849 N LEDGE AVE LOS ANGELES, CA 91601 ",LOS ANGELES,CA,91601,4,"Trojan Capital Investment, LLC",Thanh Vo,877-684-9517,Trojan Capital Investments,Thanh Vo,2681   San Miguel Drive  316 Newport Beach CA 92660 ,877-684-9517,-118.357296,34.159076
81,2501003030,01/06/2016,Single Family,"13382 N LOS OLIVOS ST LOS ANGELES, CA 91342 ",LOS ANGELES,CA,91342,7,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC.",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.469852,34.315402
82,2501003030,01/21/2016,Single Family,"13382 N LOS OLIVOS ST LOS ANGELES, CA 91342 ",LOS ANGELES,CA,91342,7,Nationstar Mortgage,Dawn Campos,888-456-0714,"Cyprexx Services, LLC.",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202,-118.469852,34.315402
83,2501003033,01/14/2016,Single Family,"13370 N LOS OLIVOS ST LOS ANGELES, CA 91342 ",LOS ANGELES,CA,91342,7,Caliber Home Loans,Kandyce Hughes,214-874-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437,-118.469581,34.315043
